person;executed_score;first_act_x;first_act_y;first_act_type
zone_10322;123.50182071912678;629607.4692472594;4802587.354150177;home
zone_10323;105.76552040413895;631423.0319878319;4804629.119078821;home
zone_10324;129.7334086493029;630647.5639668917;4801723.263033775;home
zone_10325;128.71976791274938;631526.0844946781;4803038.100243157;home
zone_10326;135.40974670528456;633308.5031208438;4804206.925359225;home
zone_10327;106.53382247724183;632719.2605328762;4800919.737244001;home
zone_10328;113.5870035270925;630805.1586530909;4800797.6249361;home
zone_10329;112.93900901272855;630442.041597352;4803149.3870767765;home
zone_1033;119.00537961561254;631179.3801003746;4800929.60516174;home
zone_10330;131.0080471730422;634768.3278621543;4804846.337355503;home
zone_10331;118.38736122700973;630647.5639668917;4801723.263033775;home
zone_10332;138.5378409134277;630647.5639668917;4801723.263033775;home
zone_10333;130.17705819385952;637189.5867645489;4804833.534866543;home
zone_10334;122.84321681554981;634925.2030648123;4804869.501112157;home
zone_10335;116.47492985605241;632048.9507873739;4803179.600266235;home
zone_10336;133.26921067230214;633853.1272488823;4803908.969709034;home
zone_10337;131.8347417726251;631153.1783559389;4802441.457958708;home
zone_10338;133.2205487127855;632719.2605328762;4800919.737244001;home
zone_10339;133.9153303448056;630773.6082650862;4801196.483345928;home
zone_1034;133.97272685129013;633658.0422692972;4802650.466149388;home
zone_10340;135.7189801074221;632239.5254670911;4803666.675834572;home
zone_10341;139.24028861624205;631650.1637896863;4802868.967392746;home
zone_10342;130.50665626435102;630058.9064276607;4804826.804914959;home
zone_10343;113.21711725679354;629785.1462658781;4800715.26413079;home
zone_10344;121.1369375221718;632304.3053814727;4803934.781376274;home
zone_10345;127.79330919723418;632361.6127265748;4801028.265921773;home
zone_10346;137.96533975042675;631684.2247837695;4802781.994368805;home
zone_10347;117.60003598483853;630928.8155682986;4802293.278027687;home
zone_10348;140.50436292827405;631053.6688814128;4803278.381119996;home
zone_10349;134.12838867337737;632303.5491439501;4804209.979694768;home
zone_1035;113.00519146112889;630939.4946067771;4801700.885825888;home
zone_10350;135.39400882486152;630058.9064276607;4804826.804914959;home
zone_10351;106.47714536265937;630937.0482643002;4804556.9025685;home
zone_10352;139.24967111863117;633010.8399602477;4801712.914553211;home
zone_10353;121.47861046404769;632571.4235714863;4803469.315626558;home
zone_10354;105.08661302343081;630937.0482643002;4804556.9025685;home
zone_10355;120.80547941095543;632955.3667052033;4804152.701514505;home
zone_10356;131.6452434142035;631791.0826605032;4802719.483491401;home
zone_10357;117.96767350571115;633243.4210853502;4802560.358911389;home
zone_10358;103.30113255389817;631530.5162887073;4802303.805222068;home
zone_10359;138.8868444943741;630808.5601732768;4801299.737366252;home
zone_1036;136.9408407851411;633243.4210853502;4802560.358911389;home
zone_10360;128.6022949462054;637189.5867645489;4804833.534866543;home
zone_10361;138.88820097514593;630261.409059017;4803422.039820019;home
zone_10362;137.24017454843752;629339.7288575578;4800597.994429591;home
zone_10363;131.6126321095453;631263.6296640639;4804081.25514693;home
zone_10364;127.82770890842222;631371.6610407706;4801742.420958577;home
zone_10365;127.07489266807927;631262.302212802;4803297.818039749;home
zone_10366;130.68124067562374;632043.5479008646;4803942.611194798;home
zone_10367;115.71826808882327;630544.4853435219;4803561.744740613;home
zone_10368;115.90593419098461;630363.050743111;4803092.824457379;home
zone_10369;130.94717982031136;631720.7178746574;4801452.14764747;home
zone_1037;122.95605711528053;634035.0254274029;4804913.26696565;home
zone_10370;106.07214720108428;631872.1660828297;4801599.124254968;home
zone_10371;134.46148147493247;630777.5015135204;4801990.748623423;home
zone_10372;136.63083303138762;631054.1095084093;4801754.933945196;home
zone_10373;119.42064906221704;634102.8140999586;4804132.492123852;home
zone_10374;127.61562764724685;633050.0974605369;4802588.135465016;home
zone_10375;129.7135214574468;631423.0319878319;4804629.119078821;home
zone_10376;120.28741562738522;631809.8012870164;4804061.374619575;home
zone_10377;133.1255045803875;631872.1660828297;4801599.124254968;home
zone_10378;112.42044510765065;630635.0095882078;4803110.624914508;home
zone_10379;137.86303754789307;633084.4250384767;4804049.5601632595;home
zone_1038;131.37884706593127;630218.1879427515;4801334.9267173875;home
zone_10380;124.29148016955229;630426.3366195187;4803452.646657061;home
zone_10381;117.19979634985822;630261.409059017;4803422.039820019;home
zone_10382;111.06454458035037;636388.6401010551;4801896.6194677055;home
zone_10383;121.80708028520964;631384.9462649372;4804246.21377017;home
zone_10384;97.65907065359171;629591.6328503961;4800746.766474359;home
zone_10385;134.1744200334926;634658.5932212531;4803885.344756242;home
zone_10386;114.73028382096795;630784.690107689;4803830.118691895;home
zone_10387;105.45839577879077;631559.957715288;4801405.683327483;home
