link_id,lane_km,road_capacity_utilization,avg_speed,congestion_index,speed_performance_index,simulated_traffic_volume,vol_car
2746,0.16748724854765937,0.009623015873015874,19.817022386334273,0.9908355348234267,0.9908355348234267,97.0,97.0
2747,0.16748724854765937,0.006448412698412699,19.810146985981344,0.9904915212980726,0.9904915212980726,65.0,65.0
2748,0.4323763222978788,0.05228174603174603,19.94253550985723,0.997121540227229,0.997121540227229,527.0,527.0
2749,0.4323763222978788,0.03273809523809524,19.962790078325437,0.998134466207833,0.998134466207833,330.0,330.0
275,0.03990023923473274,0.12005555555555555,29.335707391242842,0.977854040026154,0.977854040026154,2161.0,2161.0
2750,0.1256563114951501,0.09791666666666668,19.614701442445664,0.9807321894717379,0.9807321894717379,987.0,987.0
2751,0.1256563114951501,0.034126984126984124,19.73404604827135,0.9866994824293384,0.9866994824293384,344.0,344.0
2752,0.3649561044883509,0.17817460317460318,19.754664058060417,0.9877325291877034,0.9877325291877034,1796.0,1796.0
2753,0.3649561044883509,0.15575396825396826,19.902490802638944,0.9951238507488317,0.9951238507488317,1570.0,1570.0
2754,0.8124422010974949,0.1909722222222222,19.811050399326017,0.9905506938677987,0.9905506938677987,1925.0,1925.0
2755,0.8124422010974949,0.19097222222222224,19.78919823148624,0.9894580005409959,0.9894580005409959,1925.0,1925.0
2756,0.03814580882702921,0.10138888888888889,19.613411775877303,0.9806545673336412,0.9806545673336412,1022.0,1022.0
2757,0.03814580882702921,0.10138888888888889,19.693927700760053,0.9846796183935823,0.9846796183935823,1022.0,1022.0
2758,0.3727046059374863,0.027182539682539683,19.86303346043967,0.9931456226054886,0.9931456226054886,274.0,274.0
2759,0.3727046059374863,0.02896825396825397,19.85504590460683,0.9927465022783782,0.9927465022783782,292.0,292.0
276,0.15650215272444684,3.993055555555556E-4,44.15819669224443,0.9812819402568808,0.9812819402568808,23.0,23.0
2760,0.06785876507981073,0.03015873015873016,19.353299919447572,0.9676413462930791,0.9676413462930791,304.0,304.0
2761,0.06785876507981073,0.03194444444444445,19.351787703285126,0.967567213589913,0.967567213589913,322.0,322.0
2762,0.06491246717603098,0.09801587301587303,19.639015604363735,0.9819414227435064,0.9819414227435064,988.0,988.0
2763,0.06491246717603098,0.09801587301587301,19.675850847991715,0.9837827496935247,0.9837827496935247,988.0,988.0
2764,0.33866788738366826,0.02251984126984127,19.985430797948993,0.9992695499244832,0.9992695499244832,227.0,227.0
2765,0.33866788738366826,0.00376984126984127,19.997066614272697,0.9998505522608139,0.9998505522608139,38.0,38.0
2766,0.09871262933671898,9.920634920634922E-4,19.978825797993753,0.9989271911139325,0.9989271911139325,10.0,10.0
2767,0.09871262933671898,0.0032738095238095235,19.962940348725663,0.9981321175831555,0.9981321175831555,33.0,33.0
2768,0.06911418076853153,9.920634920634922E-5,20.000888325298515,1.0,1.0,1.0,1.0
2769,0.06911418076853153,9.920634920634922E-5,19.99191356771665,0.999551724790333,0.999551724790333,1.0,1.0
277,0.07825107636222342,0.03993055555555556,42.34126893279354,0.9409106395386424,0.9409106395386424,1150.0,1150.0
2770,0.021635691943152315,0.0014880952380952382,19.930401874693825,0.9964258311119177,0.9964258311119177,15.0,15.0
2771,0.021635691943152315,0.00376984126984127,19.958009050950253,0.9978005114534879,0.9978005114534879,38.0,38.0
2772,0.5490041243589867,0.0015873015873015875,20.000150249872014,1.0,1.0,16.0,16.0
2773,0.5490041243589867,0.0015873015873015875,19.99522597045443,0.9997548033459627,0.9997548033459627,16.0,16.0
2774,0.1925668147882938,0.04642857142857143,19.87310258990682,0.9936547529095011,0.9936547529095011,468.0,468.0
2775,0.1925668147882938,0.07787698412698413,19.896575002117018,0.9948283815324755,0.9948283815324755,785.0,785.0
2776,0.08044838658020825,0.009722222222222222,19.71207704327202,0.9855752662343745,0.9855752662343745,98.0,98.0
2777,0.08044838658020825,0.01984126984126984,19.668741586412516,0.9834115561695307,0.9834115561695307,200.0,200.0
2778,0.06905559324948136,0.0036706349206349206,20.000010916985755,1.0,1.0,37.0,37.0
2779,0.06905559324948136,0.0036706349206349206,19.76251078734655,0.9881251413522217,0.9881251413522217,37.0,37.0
278,0.2307239757877916,0.0021825396825396826,19.976838337393218,0.9988351082385974,0.9988351082385974,22.0,22.0
2780,0.0723702377220735,0.0047619047619047615,19.530517290238443,0.9764909106070878,0.9764909106070878,48.0,48.0
2781,0.0723702377220735,0.005158730158730159,19.550266468376186,0.9774793975699996,0.9774793975699996,52.0,52.0
2782,0.12205481953304,0.006845238095238096,19.989814719367867,0.9994639991761294,0.9994639991761294,69.0,69.0
2783,0.12205481953304,0.006646825396825397,19.991395453366394,0.9995434472113213,0.9995434472113213,67.0,67.0
2784,0.18376987861971625,0.07529761904761904,19.5844479912482,0.9792143886147533,0.9792143886147533,759.0,759.0
2785,0.18376987861971625,0.03720238095238095,19.70245673450527,0.9851142795766301,0.9851142795766301,375.0,375.0
2786,0.03169558895195993,0.0010912698412698415,19.898287958940227,0.9948820488082081,0.9948820488082081,11.0,11.0
2787,0.03169558895195993,0.0025793650793650793,19.81634055542727,0.9907876878547746,0.9907876878547746,26.0,26.0
2788,0.28972527017778965,9.92063492063492E-4,20.000210405369945,1.0,1.0,10.0,10.0
2789,0.28972527017778965,9.92063492063492E-4,19.973480564419372,0.9986643846415127,0.9986643846415127,10.0,10.0
279,0.2307239757877916,0.0023809523809523807,19.96285013584095,0.998136173181756,0.998136173181756,24.0,24.0
2790,0.025051160928913352,0.0010912698412698415,19.816793356176877,0.9907976681350825,0.9907976681350825,11.0,11.0
2791,0.025051160928913352,0.1390873015873016,18.875624576454832,0.9437595048535548,0.9437595048535548,1402.0,1402.0
2792,0.46545472965698687,0.0014880952380952382,20.000203229433314,1.0,1.0,15.0,15.0
2793,0.46545472965698687,0.0014880952380952382,19.99314214577828,0.9996483218498696,0.9996483218498696,15.0,15.0
2794,0.02431029456843995,9.92063492063492E-5,19.977852786421543,0.9986996937964984,0.9986996937964984,1.0,1.0
2795,0.02431029456843995,3.968253968253969E-4,19.899712553880132,0.9947987751859932,0.9947987751859932,4.0,4.0
2796,0.06595454218750939,0.1380952380952381,19.889390584960562,0.9944365275065838,0.9944365275065838,1392.0,1392.0
2797,0.06595454218750939,9.920634920634919E-5,19.999137726410115,0.9998887305501317,0.9998887305501317,1.0,1.0
2798,0.12465154285219553,0.0,20.000247549489856,1.0,1.0,0.0,0.0
2799,0.12465154285219553,0.0,20.000247549489856,1.0,1.0,0.0,0.0
28,0.16341376249692172,0.0076388888888888895,19.87571943665052,0.9937746479614967,0.9937746479614967,77.0,77.0
280,0.9508036977415797,0.0013357843137254903,69.43819661138016,0.991968053319759,0.991968053319759,109.0,109.0
2802,0.21872906705285805,0.1384920634920635,19.541059647646478,0.9770501579690329,0.9770501579690329,1396.0,1396.0
2803,0.21872906705285805,1.984126984126984E-4,19.993565766600632,0.9996725167028722,0.9996725167028722,2.0,2.0
2804,0.12130339112428447,9.92063492063492E-5,20.00055913013759,1.0,1.0,1.0,1.0
2805,0.12130339112428447,9.92063492063492E-5,19.998987116493836,0.9999216905314258,0.9999216905314258,1.0,1.0
2808,0.06558870722301469,0.0017857142857142859,19.950853386352602,0.9974735325539407,0.9974735325539407,18.0,18.0
2809,0.06558870722301469,0.0032738095238095243,19.933924916016295,0.9966313767385875,0.9966313767385875,33.0,33.0
281,0.11975278955927098,9.920634920634922E-4,19.979395330582253,0.998947684944765,0.998947684944765,10.0,10.0
2810,0.05879907430997017,0.002281746031746032,19.88309969511125,0.9940885422698101,0.9940885422698101,23.0,23.0
2811,0.05879907430997017,0.00376984126984127,19.812014552380635,0.9905416676316962,0.9905416676316962,38.0,38.0
2812,0.0825207654630149,0.001388888888888889,19.984659302254922,0.9991874321296815,0.9991874321296815,14.0,14.0
2813,0.0825207654630149,0.0026785714285714286,19.962199853363504,0.9980701513079937,0.9980701513079937,27.0,27.0
2814,0.4397310986373435,0.00992063492063492,20.000151041609538,1.0,1.0,100.0,100.0
2815,0.4397310986373435,0.009920634920634922,19.916134782116778,0.9958021763905507,0.9958021763905507,100.0,100.0
2816,0.24368156194751917,9.920634920634922E-4,20.000310588004854,1.0,1.0,10.0,10.0
2817,0.24368156194751917,9.920634920634922E-4,19.99508323410117,0.9997399264215028,0.9997399264215028,10.0,10.0
282,0.11975278955927098,9.920634920634922E-4,19.96253887731665,0.9981058329005772,0.9981058329005772,10.0,10.0
2822,0.268148843325992,0.0019841269841269845,19.969120102958144,0.9984413090958303,0.9984413090958303,20.0,20.0
2823,0.268148843325992,0.0021825396825396826,19.95039530598893,0.9975060945533284,0.9975060945533284,22.0,22.0
2824,0.012010601809055825,0.0015873015873015875,19.075792470634614,0.9534393514238916,0.9534393514238916,16.0,16.0
2825,0.012010601809055825,0.002777777777777778,18.784350576899136,0.9388891487438578,0.9388891487438578,28.0,28.0
2828,0.21229170281588947,9.920634920634922E-4,19.98763673104183,0.9993689955984456,0.9993689955984456,10.0,10.0
2829,0.21229170281588947,0.0,20.000265103559144,1.0,1.0,0.0,0.0
283,0.09058150722478962,0.004265873015873016,19.796109168560285,0.9897745779479725,0.9897745779479725,43.0,43.0
2832,0.07413649626899886,0.005654761904761905,19.83489384858817,0.9917095822791194,0.9917095822791194,57.0,57.0
2833,0.07413649626899886,0.012003968253968255,19.59083581712708,0.9795177915131186,0.9795177915131186,121.0,121.0
2838,0.045285153440514696,0.004662698412698413,20.000803875089304,1.0,1.0,47.0,47.0
2839,0.045285153440514696,0.004662698412698413,19.489811114975044,0.974461247802788,0.974461247802788,47.0,47.0
284,0.09058150722478962,0.0020833333333333337,19.864347272196117,0.993183051965315,0.993183051965315,21.0,21.0
2840,0.018523990525093566,0.01011904761904762,18.552124058678054,0.9275505125315359,0.9275505125315359,102.0,102.0
2841,0.018523990525093566,0.0036706349206349206,19.30809315342405,0.9653290778394189,0.9653290778394189,37.0,37.0
2842,0.12430800799849424,0.010317460317460319,19.785263527134642,0.9892512566620021,0.9892512566620021,104.0,104.0
2843,0.12430800799849424,0.010317460317460317,19.785263527134642,0.9892512566620021,0.9892512566620021,104.0,104.0
2844,0.04917644475587439,0.0014880952380952382,19.960325003696365,0.9979411118896859,0.9979411118896859,15.0,15.0
2845,0.04917644475587439,0.0014880952380952382,19.95687563344224,0.9977695378804932,0.9977695378804932,15.0,15.0
2846,0.035188467569198176,3.968253968253969E-4,20.002918561363245,1.0,1.0,4.0,4.0
2847,0.035188467569198176,3.968253968253969E-4,19.923502212074975,0.9960352628717599,0.9960352628717599,4.0,4.0
