person;activity_number;activity_id;activity_type;start_time;end_time;maximum_duration;link_id;facility_id;coord_x;coord_y
zone_12950;2;zone_12950_2;work;27633.0;58845.0;;1425;;632517.976173284;4805082.08241133
zone_12950;3;zone_12950_3;home;60904.0;;;2014;;633785.5612609856;4804713.475805817
zone_12951;1;zone_12951_1;home;;53407.0;;2143;;631090.7903383438;4802965.504740237
zone_12951;2;zone_12951_2;other;56053.0;63611.0;;2754;;631423.0319878319;4804629.119078821
zone_12951;3;zone_12951_3;home;66257.0;;;2143;;631090.7903383438;4802965.504740237
zone_12952;1;zone_12952_1;home;;30483.0;;1271;;632194.8873812845;4801847.0252629155
zone_12952;2;zone_12952_2;work;42153.0;67696.0;;1323;;632478.381764169;4804418.703684534
zone_12952;3;zone_12952_3;home;79650.0;;;1271;;632194.8873812845;4801847.0252629155
zone_12953;1;zone_12953_1;home;;26365.0;;537;;631694.2159298805;4803409.0661096
zone_12953;2;zone_12953_2;work;28550.0;66418.0;;1299;;632622.9876690283;4804457.694485508
zone_12953;3;zone_12953_3;home;68603.0;;;537;;631694.2159298805;4803409.0661096
zone_12954;1;zone_12954_1;home;;29495.0;;387;;632043.5479008646;4803942.611194798
zone_12954;2;zone_12954_2;work;35520.0;67354.0;;1315;;632462.4605781578;4804748.550565502
zone_12954;3;zone_12954_3;home;78832.0;;;387;;632043.5479008646;4803942.611194798
zone_12955;1;zone_12955_1;home;;27386.0;;1262;;632063.7238403086;4804754.418962788
zone_12955;2;zone_12955_2;work;29679.0;58809.0;;2087;;630944.5238873602;4803800.851245257
zone_12955;3;zone_12955_3;home;61102.0;;;1262;;632063.7238403086;4804754.418962788
zone_12956;1;zone_12956_1;home;;25612.0;;1152;;632246.1130241295;4805045.8673726935
zone_12956;2;zone_12956_2;work;25612.0;59031.0;;1152;;632246.1130241295;4805045.8673726935
zone_12956;3;zone_12956_3;home;59031.0;;;1152;;632246.1130241295;4805045.8673726935
zone_12957;1;zone_12957_1;home;;32225.0;;1821;;634318.2789787306;4803976.057114288
zone_12957;2;zone_12957_2;work;46876.0;67635.0;;2672;;630391.4355062505;4801966.863960642
zone_12957;3;zone_12957_3;home;94201.0;;;1821;;634318.2789787306;4803976.057114288
zone_12958;1;zone_12958_1;home;;30711.0;;1285;;629340.7867590222;4806513.8220451195
zone_12958;2;zone_12958_2;work;35402.0;65863.0;;1315;;632462.4605781578;4804748.550565502
zone_12958;3;zone_12958_3;home;67146.0;;;1285;;629340.7867590222;4806513.8220451195
zone_12959;1;zone_12959_1;home;;46124.0;;749;;633902.2842819106;4804484.024175754
zone_12959;2;zone_12959_2;other;49759.0;49759.0;;1041;;629607.4692472594;4802587.354150177
zone_12959;3;zone_12959_3;home;53419.0;;;749;;633902.2842819106;4804484.024175754
zone_1296;1;zone_1296_1;home;;31584.0;;1387;;631122.2449108451;4803597.379139535
zone_1296;2;zone_1296_2;work;32064.0;62216.0;;50;;632325.8880450346;4803156.053092441
zone_1296;3;zone_1296_3;home;62649.0;;;1387;;631122.2449108451;4803597.379139535
zone_12960;1;zone_12960_1;home;;27871.0;;2764;;634658.5932212531;4803885.344756242
zone_12960;2;zone_12960_2;work;35838.0;61417.0;;2872;;632303.5491439501;4804209.979694768
zone_12960;3;zone_12960_3;home;66555.0;;;2764;;634658.5932212531;4803885.344756242
zone_12961;1;zone_12961_1;home;;30184.0;;1738;;629995.3944755278;4802991.735744134
zone_12961;2;zone_12961_2;work;47448.0;59595.0;;2754;;631423.0319878319;4804629.119078821
zone_12961;3;zone_12961_3;home;67717.0;;;1738;;629995.3944755278;4802991.735744134
zone_12962;1;zone_12962_1;home;;47564.0;;637;;634210.9696407551;4805029.2464183
zone_12962;2;zone_12962_2;other;58796.0;58796.0;;701;;632161.3736463856;4802963.823853409
zone_12962;3;zone_12962_3;home;65172.0;;;637;;634210.9696407551;4805029.2464183
zone_12963;1;zone_12963_1;home;;40436.0;;653;;631617.3538702233;4803507.970557354
